Species_updated_name_fishbase,Species_checklist_name,Species_used_name,Author,Class,Order,Family,Red_Sea,Mediterranean,Red_sea_endemic,Med_israeli_coast,Gulf_of_aqaba ,Lessepsian,First_israel_med_record,Pop_status_in_isreal,Lessepsian_med_distribution,Anti_Lessepsian,Distinct_Med_Red_distribution,Med_Red_distribution_explanation,Distinct_sp_Med_first_record_year,Comments,Home_range,Activity,Schooling,Water_level,Diet,Venomous,Poisonous
Callionymus fasciatus,Callionymus fasciatus,NA,"Valenciennes, 1837",Actinopteri,Perciformes,Callionymidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Callionymus filamentosus,Callionymus filamentosus,Callionymus filamentosus,"Valenciennes, 1837",Actinopteri,Perciformes,Callionymidae,1,1,0,1,1,1,1953,Common," Cyprus, Egypt, Greece, Turkey",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Callionymus flavus,Callionymus flavus,NA,Fricke 1983,Actinopteri,Callionymiformes,Callionymidae,1,0,1,0,0,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,IM,0,0
Callionymus gardineri,Callionymus gardineri,NA,Regan 1908,Actinopteri,Callionymiformes,Callionymidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Callionymus lyra,Callionymus lyra,NA,"Linnaeus, 1758",Actinopteri,Perciformes,Callionymidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Callionymus maculatus,Callionymus maculatus,NA,"Rafinesque, 1810",Actinopteri,Perciformes,Callionymidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Callionymus muscatensis,Callionymus muscatensis,NA,Regan 1906,Actinopteri,Callionymiformes,Callionymidae,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Callionymus oxycephalus,Callionymus oxycephalus,NA,Fricke 1980,Actinopteri,Callionymiformes,Callionymidae,1,0,1,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Callionymus profundus,Callionymus profundus,NA,Fricke & Golani 2013,Actinopteri,Callionymiformes,Callionymidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Callionymus pusillus,Callionymus pusillus,NA,"Delaroche, 1809",Actinopteri,Perciformes,Callionymidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Callionymus reticulatus,Callionymus reticulatus,NA,"Valenciennes, 1837",Actinopteri,Perciformes,Callionymidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Callionymus risso,Callionymus risso,NA,"Lesueur, 1814",Actinopteri,Perciformes,Callionymidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Callogobius amikami,Callogobius amikami,Callogobius amikami,"Goren, Miroz & Baranes 1991",Actinopteri,Gobiiformes,Gobiidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,IM,0,0
Callogobius bifasciatus,Callogobius clarkae,NA,Goren 1978,Actinopteri,Gobiiformes,Gobiidae,1,0,1,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,IM,0,0
Callogobius dori,Callogobius dori,NA,Goren 1980,Actinopteri,Gobiiformes,Gobiidae,1,0,1,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,IM,0,0
Callogobius flavobrunneus,Callogobius flavobrunneus,NA,Smith 1958,Actinopteri,Gobiiformes,Gobiidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,IM,0,0
Callogobius pilosimentum,Callogobius pilosimentum,NA,"Delventhal, Mooi, Bogorodsky & Mal 2016",Actinopteri,Gobiiformes,Gobiidae,1,0,1,0,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Callogobius sclateri,Callogobius sclateri,NA,Steindachner 1897,Actinopteri,Gobiiformes,Gobiidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,IM,0,0
Calloplesiops altivelis,Calloplesiops altivelis,Calloplesiops altivelis,Steindachner 1903,Actinopteri,Ovalentaria/misc,Plesiopidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Night,Sol,Bottom,FC,0,0
Calotomus viridescens,Calotomus viridescens,Calotomus viridescens,Rüppell 1835,Actinopteri,Eupercaria/misc,Scaridae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,SmallG,Bottom,HD,0,0
Campogramma glaycos,Campogramma glaycos,NA,"(Lacepčde, 1801)",Actinopteri,Carangiformes,Carangidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Cantherhines pardalis,Cantherhines pardalis,Cantherhines pardalis,Rüppell 1830,Actinopteri,Tetraodontiformes,Monacanthidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,Sol,Bottom,OM,0,0
Canthidermis macrolepis,Canthidermis macrolepis,NA,Boulenger 1888,Actinopteri,Tetraodontiformes,Balistidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,VMob,Day,MedG,High,PK,0,0
Canthigaster cyanospilota,Canthigaster cyanospilota,Canthigaster coronata,"Randall, Williams & Rocha 2008",Actinopteri,Tetraodontiformes,Tetraodontidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,OM,0,0
Canthigaster margaritata,Canthigaster margaritata,Canthigaster margaritata,Rüppell 1829,Actinopteri,Tetraodontiformes,Tetraodontidae,1,0,1,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Pair,Bottom,OM,0,0
